,,,,,2026 Batter Projections,,,,,,,2026 Pitcher Projections,,,,,,
Value,Player,Age,Team,Pos,G,AB,AVG,HR,RBI,SB,R,GS,IP,W,SV,K,ERA,WHIP
51.603626,Shohei Ohtani,32,LAD,DH,151,568,.296,50,105,31,126,25,137.0,9,0,161,3.28,1.022
46.90815,Aaron Judge,34,NYY,OF/DH,149,520,.312,52,117,9,120,0,0.0,0,0,0,0.00,0.000
44.104221,Tarik Skubal,30,DET,SP,30,0,.000,0,0,0,0,30,190.0,15,0,232,2.37,0.900
39.021965,Bobby Witt,26,KC,SS,156,608,.303,27,93,36,103,0,0.0,0,0,0,0.00,0.000
38.726837,Paul Skenes,24,PIT,SP,30,0,.000,0,0,0,0,30,186.0,11,0,224,1.98,0.957
37.402332,Jose Ramirez,34,CLE,3B/DH,155,586,.283,30,92,37,100,0,0.0,0,0,0,0.00,0.000
37.189407,Juan Soto,28,NYM,OF,156,545,.275,38,102,21,111,0,0.0,0,0,0,0.00,0.000
30.963722,Ronald Acuna,29,ATL,OF,152,564,.278,28,71,32,110,0,0.0,0,0,0,0.00,0.000
29.688396,Corbin Carroll,26,ARI,OF,144,542,.256,26,74,37,107,0,0.0,0,0,0,0.00,0.000
29.157248,Kyle Schwarber,33,PHI,DH,152,551,.232,45,108,6,103,0,0.0,0,0,0,0.00,0.000
29.034342,Elly De La Cruz,24,CIN,SS,148,566,.256,21,72,47,94,0,0.0,0,0,0,0.00,0.000
28.821007,Garrett Crochet,27,BOS,SP,29,0,.000,0,0,0,0,29,180.0,14,0,219,3.10,1.056
28.604446,Julio Rodriguez,26,SEA,OF,152,600,.270,27,85,29,92,0,0.0,0,0,0,0.00,0.000
28.190899,Francisco Lindor,33,NYM,SS,155,599,.265,28,84,25,102,0,0.0,0,0,0,0.00,0.000
27.507456,Kyle Tucker,29,LAD,OF,143,524,.273,29,85,23,93,0,0.0,0,0,0,0.00,0.000
25.440792,Trea Turner,33,PHI,SS,144,576,.293,20,69,29,94,0,0.0,0,0,0,0.00,0.000
25.431946,Nick Kurtz,23,ATH,1B,140,510,.271,37,91,4,100,0,0.0,0,0,0,0.00,0.000
25.247633,Vladimir Guerrero,27,TOR,1B/DH,155,585,.294,29,96,4,94,0,0.0,0,0,0,0.00,0.000
25.011581,Yoshinobu Yamamoto,28,LAD,SP,27,0,.000,0,0,0,0,27,160.0,12,0,186,2.70,1.044
24.848818,Pete Crow-Armstrong,24,CHC,OF,146,556,.239,22,84,37,86,0,0.0,0,0,0,0.00,0.000
24.596132,Gunnar Henderson,25,BAL,SS,154,586,.271,25,78,22,98,0,0.0,0,0,0,0.00,0.000
24.33066,Chris Sale,37,ATL,SP,26,0,.000,0,0,0,0,26,160.0,12,0,204,2.93,1.069
24.251194,Ketel Marte,33,ARI,2B/DH,144,545,.283,32,87,6,97,0,0.0,0,0,0,0.00,0.000
24.191204,Cal Raleigh,30,SEA,C/DH,153,542,.232,42,100,7,87,0,0.0,0,0,0,0.00,0.000
23.922329,Fernando Tatis,27,SD,OF,145,564,.268,26,71,25,96,0,0.0,0,0,0,0.00,0.000
23.717995,Bryan Woo,26,SEA,SP,30,0,.000,0,0,0,0,30,182.0,13,0,179,3.31,1.022
23.66441,Jazz Chisholm,28,NYY,2B/3B,141,524,.246,28,77,33,76,0,0.0,0,0,0,0.00,0.000
23.306309,Jackson Chourio,22,MIL,OF,145,577,.270,22,83,23,89,0,0.0,0,0,0,0.00,0.000
23.304037,Pete Alonso,32,BAL,1B,155,582,.247,37,108,2,86,0,0.0,0,0,0,0.00,0.000
22.764021,Brent Rooker,32,ATH,OF/DH,150,566,.269,33,94,7,83,0,0.0,0,0,0,0.00,0.000
22.712776,Junior Caminero,23,TB,3B,149,580,.260,34,94,8,84,0,0.0,0,0,0,0.00,0.000
22.618788,Christian Yelich,35,MIL,DH,138,516,.277,21,82,23,84,0,0.0,0,0,0,0.00,0.000
22.556252,Cristopher Sanchez,30,PHI,SP,29,0,.000,0,0,0,0,29,186.0,13,0,178,3.00,1.113
22.52195,Freddy Peralta,30,NYM,SP,29,0,.000,0,0,0,0,29,169.0,14,0,199,3.25,1.124
22.373163,Jacob deGrom,38,TEX,SP,27,0,.000,0,0,0,0,27,160.0,7,0,188,2.64,0.969
22.363567,Josh Naylor,29,SEA,1B/DH,144,545,.275,22,96,18,74,0,0.0,0,0,0,0.00,0.000
22.073004,Freddie Freeman,37,LAD,1B,144,548,.299,24,84,11,83,0,0.0,0,0,0,0.00,0.000
21.92243,Roman Anthony,22,BOS,OF,152,563,.281,26,79,12,95,0,0.0,0,0,0,0.00,0.000
21.639818,Manny Machado,34,SD,3B,146,577,.270,28,94,10,80,0,0.0,0,0,0,0.00,0.000
20.651041,Max Fried,32,NYY,SP,29,0,.000,0,0,0,0,29,181.0,14,0,176,3.18,1.144
20.361492,Hunter Brown,28,HOU,SP,32,0,.000,0,0,0,0,32,195.0,13,0,216,3.42,1.185
20.286049,Logan Gilbert,29,SEA,SP,28,0,.000,0,0,0,0,28,166.0,10,0,192,3.47,0.994
20.053192,Bryce Harper,34,PHI,1B,144,530,.275,27,82,11,83,0,0.0,0,0,0,0.00,0.000
19.701689,Matt Olson,32,ATL,1B,155,580,.248,30,101,1,93,0,0.0,0,0,0,0.00,0.000
19.208834,Cole Ragans,29,KC,SP,30,0,.000,0,0,0,0,30,174.0,12,0,223,3.57,1.155
19.079975,Nick Pivetta,33,SD,SP,29,0,.000,0,0,0,0,29,173.0,11,0,199,3.59,1.064
18.825972,Mookie Betts,34,LAD,SS,142,550,.275,21,81,11,93,0,0.0,0,0,0,0.00,0.000
18.591305,CJ Abrams,26,WSH,SS,141,547,.250,19,62,34,83,0,0.0,0,0,0,0.00,0.000
18.506712,Zach Neto,25,LAA,SS,151,576,.247,24,73,24,83,0,0.0,0,0,0,0.00,0.000
18.494013,Framber Valdez,33,DET,SP,30,0,.000,0,0,0,0,30,188.2,13,0,184,3.34,1.166
18.378563,James Wood,24,WSH,OF/DH,148,552,.257,23,80,19,79,0,0.0,0,0,0,0.00,0.000
18.170431,Logan Webb,30,SF,SP,30,0,.000,0,0,0,0,30,194.0,13,0,186,3.29,1.191
18.082088,Ryan Pepiot,29,TB,SP,30,0,.000,0,0,0,0,30,166.0,12,0,166,3.42,1.060
17.998007,Eugenio Suarez,35,CIN,3B,154,565,.239,35,92,3,83,0,0.0,0,0,0,0.00,0.000
17.940279,Willy Adames,31,SF,SS,153,571,.231,28,90,13,85,0,0.0,0,0,0,0.00,0.000
17.907978,Joe Ryan,30,MIN,SP,29,0,.000,0,0,0,0,29,172.0,11,0,196,3.77,1.052
17.434055,Rafael Devers,30,SF,1B/DH,145,533,.257,29,89,3,85,0,0.0,0,0,0,0.00,0.000
17.315512,Jarren Duran,30,BOS,OF,139,538,.277,14,67,27,79,0,0.0,0,0,0,0.00,0.000
17.254236,Nathan Eovaldi,36,TEX,SP,26,0,.000,0,0,0,0,26,159.0,11,0,154,3.45,1.000
17.186262,Brice Turang,27,MIL,2B,149,561,.260,12,64,35,80,0,0.0,0,0,0,0.00,0.000
17.143105,George Springer,37,TOR,OF/DH,132,504,.266,24,68,16,86,0,0.0,0,0,0,0.00,0.000
17.132586,Cody Bellinger,31,NYY,OF,136,526,.268,21,82,14,78,0,0.0,0,0,0,0.00,0.000
17.064247,Randy Arozarena,31,SEA,OF,153,570,.235,23,71,24,88,0,0.0,0,0,0,0.00,0.000
16.505981,Kevin Gausman,35,TOR,SP,29,0,.000,0,0,0,0,29,181.0,12,0,186,3.58,1.138
16.433146,Geraldo Perdomo,27,ARI,SS,151,548,.272,12,74,19,93,0,0.0,0,0,0,0.00,0.000
16.404917,Drew Rasmussen,31,TB,SP,29,0,.000,0,0,0,0,29,153.0,10,0,151,2.94,1.065
16.202599,Mason Miller,28,SD,RP,62,0,.000,0,0,0,0,0,66.0,4,33,80,2.59,1.000
16.006109,Sonny Gray,37,BOS,SP,29,0,.000,0,0,0,0,29,174.0,13,0,195,3.78,1.161
15.956062,Seiya Suzuki,32,CHC,OF/DH,137,514,.267,25,82,10,71,0,0.0,0,0,0,0.00,0.000
15.942081,Riley Greene,26,DET,OF/DH,147,559,.265,26,83,5,81,0,0.0,0,0,0,0.00,0.000
15.884606,Jackson Merrill,23,SD,OF,140,557,.271,22,85,8,76,0,0.0,0,0,0,0.00,0.000
15.655279,Zack Wheeler,36,PHI,SP,20,0,.000,0,0,0,0,20,121.0,9,0,144,2.83,0.959
15.564912,Edwin Diaz,32,LAD,RP,65,0,.000,0,0,0,0,0,66.0,6,31,83,3.00,1.061
15.549053,Shota Imanaga,33,CHC,SP,25,0,.000,0,0,0,0,25,152.0,11,0,136,3.38,1.000
15.4309,Yordan Alvarez,29,HOU,DH,138,502,.281,26,81,5,69,0,0.0,0,0,0,0.00,0.000
15.425184,Michael King,31,SD,SP,28,0,.000,0,0,0,0,28,159.0,11,0,177,3.11,1.176
15.285934,Nolan McLean,25,NYM,SP,26,0,.000,0,0,0,0,26,152.0,11,0,152,3.02,1.118
15.22904,Byron Buxton,33,MIN,OF,123,474,.251,26,71,14,79,0,0.0,0,0,0,0.00,0.000
15.217196,Andres Munoz,27,SEA,RP,64,0,.000,0,0,0,0,0,64.0,4,38,71,2.95,1.109
14.63455,Dansby Swanson,32,CHC,SS,153,570,.244,21,75,17,83,0,0.0,0,0,0,0.00,0.000
14.483406,Wyatt Langford,25,TEX,OF,142,524,.246,20,71,21,77,0,0.0,0,0,0,0.00,0.000
14.470531,Nico Hoerner,29,CHC,2B,146,556,.284,7,54,30,84,0,0.0,0,0,0,0.00,0.000
14.436773,Teoscar Hernandez,34,LAD,OF,133,520,.256,26,87,7,67,0,0.0,0,0,0,0.00,0.000
14.321274,Shohei Ohtani,32,LAD,P,151,568,.296,50,105,31,126,25,137.0,9,0,161,3.28,1.022
14.256353,Jose Altuve,36,HOU,2B/OF/DH,139,541,.277,20,62,14,83,0,0.0,0,0,0,0.00,0.000
