PlayerID,Player,Team,G,GS,QS,CG,SHO,IP,W,L,H,HR,ER,BB,K,HLD,SV,BS,ERA,WHIP,K/9,BB/9,K/BB,HR/9
14996,Cory Abbott,FA,0,0,0,0,0,1,0,0,1.12,0,0.82,0.61,0.96,0,0,0,7.37,1.72,8.61,5.45,1.58,0.00
16805,Andrew Abbott,CIN,31,31,12,0,0,179,12,10,162,25,67,59,165,0,0,0,3.37,1.23,8.30,2.97,2.80,1.26
16679,Mick Abel,MIN,41,13,3,0,0,97,3,4,92,15,52,36,86,0,0,5,4.82,1.32,7.98,3.34,2.39,1.39
17448,Kevin Abel,CIN,0,0,0,0,0,1,0,0,1.05,0,0.77,0.77,0.81,0,0,0,6.90,1.81,7.25,6.90,1.05,0.00
17401,Philip Abner,ARI,29,0,0,0,0,30,1,1,26,3,13,11,26,0,0,0,3.90,1.23,7.80,3.30,2.36,0.90
19891,Alaska Abney,CLE,0,0,0,0,0,1,0,0,0.91,0,0.5,0.48,0.84,0,0,0,4.48,1.40,7.60,4.36,1.74,0.00
15744,Bryan Abreu,HOU,65,0,0,0,0,67,3,3,51,6,21,28,84,23,11,5,2.82,1.18,11.28,3.76,3.00,0.81
14063,Albert Abreu,FA,0,0,0,0,0,1,0,0,1.03,0,0.56,0.54,0.92,0,0,0,5.03,1.58,8.25,4.90,1.69,0.00
16892,Dane Acker,TEX,0,0,0,0,0,1,0,0,1.09,0,0.61,0.61,0.86,0,0,0,5.48,1.69,7.78,5.48,1.42,0.00
16405,Daison Acosta,SD,0,0,0,0,0,1,0,0,0.89,0,0.51,0.61,0.98,0,0,0,4.55,1.50,8.84,5.45,1.62,0.00
19344,Adrian Acosta,LAA,0,0,0,0,0,1,0,0,1.3,0,1.05,1.23,0.64,0,0,0,9.49,2.52,5.73,11.03,0.52,0.00
17058,Garrett Acton,MIA,25,0,0,0,0,25,1,1,21,3,11,10,20,0,0,0,3.96,1.24,7.20,3.60,2.00,1.08
18207,Jose Acuna,CIN,0,0,0,0,0,1,0,0,1.03,0,0.62,0.65,0.82,0,0,0,5.54,1.68,7.35,5.83,1.26,0.00
11588,Jason Adam,SD,46,0,0,0,0,46,3,2,34,5,14,16,47,29,5,3,2.74,1.09,9.20,3.13,2.94,0.98
14548,Chance Adams,FA,0,0,0,0,0,1,0,0,1.35,0,0.86,0.6,0.62,0,0,0,7.70,1.95,5.54,5.36,1.03,0.00
14614,Austin Adams,FA,0,0,0,0,0,1,0,0,1.07,0,0.67,0.61,1.13,0,0,0,6.05,1.68,10.21,5.48,1.86,0.00
19157,Mason Adams,CWS,0,0,0,0,0,1,0,0,1.11,0,0.54,0.38,0.79,0,0,0,4.90,1.49,7.10,3.45,2.06,0.00
19259,Cooper Adams,BOS,0,0,0,0,0,1,0,0,1.12,0,0.67,0.63,0.75,0,0,0,6.04,1.75,6.71,5.71,1.18,0.00
19934,Travis Adams,MIN,46,2,0,0,0,60,3,4,57,8,33,24,51,0,0,3,4.95,1.35,7.65,3.60,2.13,1.20
16213,Ty Adcock,SD,30,0,0,0,0,32,1,1,27,5,15,11,27,0,0,0,4.22,1.19,7.59,3.09,2.45,1.41
18100,Eric Adler,CWS,0,0,0,0,0,1,0,0,1,0,0.61,0.7,0.91,0,0,0,5.51,1.70,8.21,6.30,1.30,0.00
16030,Joan Adon,FA,0,0,0,0,0,1,0,0,1.14,0,0.8,0.75,0.81,0,0,0,7.19,1.90,7.29,6.76,1.08,0.00
14581,Melvin Adon,FA,0,0,0,0,0,1,0,0,1.09,0,0.62,0.56,0.94,0,0,0,5.57,1.65,8.43,5.06,1.67,0.00
17464,Matt Ager,PIT,0,0,0,0,0,1,0,0,1.4,0,1.05,1.18,0.45,0,0,0,9.48,2.58,4.02,10.66,0.38,0.00
19812,Zach Agnos,COL,45,0,0,0,0,47,2,3,42,6,25,19,36,3,2,2,4.79,1.30,6.89,3.64,1.89,1.15
17842,Julian Aguiar,CIN,23,2,1,0,0,32,1,0,28,5,16,11,24,0,0,0,4.50,1.22,6.75,3.09,2.18,1.41
